id,nombre,centroide_lon,centroide_lat,categoria,fuente,municipio_id,departamento_id
50028040,LOS CORRALITOS,-68.7059893326546,-32.8978664693342,Localidad simple,INDEC,500028.0,50028.0
50028050,PUENTE DE HIERRO,-68.6889630695891,-32.8596996528436,Localidad simple,INDEC,500028.0,50028.0
50035030,LA COLONIA,-68.4874957269843,-33.0927994762934,Componente de localidad compuesta,INDEC,500035.0,50035.0
50035040,LOS BARRIALES,-68.5675279714819,-33.1010405156356,Localidad simple,INDEC,500035.0,50035.0
50035050,MEDRANO,-68.6231695474222,-33.1762912284126,Componente de localidad compuesta,INDEC,500035.0,50035.0
50035060,PHILLIPS,-68.3832295478144,-33.2032507142375,Localidad simple,INDEC,500035.0,50035.0
50042020,LA PAZ,-67.5595785270435,-33.4610193184125,Localidad simple,INDEC,500042.0,50042.0
50049030,JOCOLI,-68.6808088140347,-32.5843190924112,Componente de localidad compuesta,INDEC,500049.0,50049.0
50049040,LAS CUEVAS,-70.0865801080922,-32.8080667698938,Localidad simple,INDEC,,50049.0
50049050,LAS HERAS,-68.8460355137271,-32.84908036795,Componente de localidad compuesta,INDEC,500049.0,50049.0
50049060,LOS PENITENTES,-69.853921289708,-32.8369504266306,Localidad simple,INDEC,500063.0,50049.0
50049080,POLVAREDAS,-69.7097346552796,-32.8190384814445,Localidad simple,INDEC,500049.0,50049.0
50056020,BARRIO JOCOLI II,-68.6692696211748,-32.6740793089036,Localidad simple,INDEC,500049.0,50056.0
50056050,BARRIO LAGUNAS DE BARTOLUZZI,-68.5714746331489,-32.6111088672136,Localidad simple,INDEC,500056.0,50056.0
50056060,BARRIO LOS JARILLEROS,-68.6584021819475,-32.7153965740662,Localidad simple,INDEC,500056.0,50056.0
50056075,BARRIO VIRGEN DEL ROSARIO,-68.3124921903406,-32.7027597161507,Localidad simple,INDEC,500056.0,50056.0
50056090,EL PARAMILLO,-68.5336830930131,-32.7813088245414,Localidad simple,INDEC,500056.0,50056.0
50056100,EL VERGEL,-68.6476011792189,-32.7623132216047,Localidad simple,INDEC,500056.0,50056.0
50056110,INGENIERO GUSTAVO ANDRE,-68.3282636512792,-32.6781612841627,Localidad simple,INDEC,500056.0,50056.0
50056150,3 DE MAYO,-68.646211303192,-32.6755279452669,Localidad simple,INDEC,500056.0,50056.0
50056160,VILLA TULUMAYA,-68.6030438537926,-32.7196142429269,Localidad simple,INDEC,500056.0,50056.0
50063020,BARRIO PERDRIEL IV,-68.9250404043338,-33.0753282280468,Localidad simple,INDEC,500063.0,50063.0
50063030,CACHEUTA,-69.1159068278817,-33.0367104413315,Localidad simple,INDEC,500063.0,50063.0
50063050,EL CARRIZAL,-68.7554951968491,-33.3037433557192,Localidad simple,INDEC,500063.0,50063.0
50070010,BARRANCAS,-68.734379255702,-33.0833355400244,Localidad simple,INDEC,500070.0,50070.0
50070040,EL PEDREGAL,-68.6544793531012,-32.8558805014704,Localidad simple,INDEC,500028.0,50070.0
50070060,MAIPU,-68.7983205922319,-32.9791481716669,Componente de localidad compuesta,INDEC,500070.0,50070.0
50070070,RODEO DEL MEDIO,-68.7010652608485,-32.9880056754694,Localidad simple,INDEC,500070.0,50070.0
50070090,SAN ROQUE,-68.5981475648442,-33.0285638174611,Localidad simple,INDEC,500070.0,50070.0
50077010,AGUA ESCONDIDA,-68.3048428543176,-36.1532390359812,Localidad simple,INDEC,500077.0,50077.0
50084010,ANDRADE,-68.506066911759,-33.1624680014146,Localidad simple,INDEC,500084.0,50084.0
50084020,BARRIO COOPERATIVA LOS CAMPAMENTOS,-68.4383631651486,-33.2692489302548,Localidad simple,INDEC,500084.0,50084.0
50084040,EL MIRADOR,-68.3475556585344,-33.2906467543213,Localidad simple,INDEC,500084.0,50084.0
50084060,LA ESPERANZA,-68.3343426790403,-33.3170659709211,Localidad simple,INDEC,500084.0,50084.0
50084070,LA FLORIDA,-68.4637895827175,-33.2686978003988,Localidad simple,INDEC,500084.0,50084.0
50084080,LA LIBERTAD,-68.5166268853637,-33.2163869013321,Localidad simple,INDEC,500084.0,50084.0
50084090,LOS ARBOLES,-68.5759160345244,-33.1813162523339,Localidad simple,INDEC,500084.0,50084.0
50084120,MUNDO NUEVO,-68.4371725862256,-33.1753415989261,Localidad simple,INDEC,500084.0,50084.0
50084130,REDUCCION DE ABAJO,-68.5835152115814,-33.20630887725,Localidad simple,INDEC,500084.0,50084.0
50084140,RIVADAVIA,-68.4736188877526,-33.19403215031,Localidad simple,INDEC,500084.0,50084.0
50091005,BARRIO CARRASCO,-69.0490032074461,-33.8321066130502,Localidad simple,INDEC,500091.0,50091.0
50091010,BARRIO EL CEPILLO,-69.1303497215531,-33.8386533809471,Localidad simple,INDEC,500091.0,50091.0
50091030,EUGENIO BUSTOS,-69.0729045258216,-33.7850224488547,Localidad simple,INDEC,500091.0,50091.0
