,id,nombre,departamento_id
259,140406.0,CHARRAS,14056.0
260,142315.0,EL RASTREADOR,14056.0
261,140420.0,GENERAL DEHEZA,14056.0
262,140427.0,HUANCHILLA,14056.0
263,140448.0,OLAETA,14056.0
264,142322.0,PACHECO DE MELO,14056.0
265,142329.0,PASO DEL DURAZNO,14056.0
266,140469.0,UCACHA,14056.0
267,140455.0,REDUCCION,14056.0
268,140476.0,ALEJO LEDESMA,14063.0
269,140483.0,ARIAS,14063.0
270,140490.0,CAMILO ALDAO,14063.0
271,140497.0,CAPITAN GENERAL B. O'HIGGINS,14063.0
272,140504.0,CAVANAGH,14063.0
273,142336.0,COLONIA BARGE,14063.0
274,140511.0,COLONIA ITALIANA,14063.0
275,140518.0,CORRAL DE BUSTOS,14063.0
276,140525.0,CRUZ ALTA,14063.0
277,140539.0,GENERAL ROCA,14063.0
278,140546.0,GUATIMOZIN,14063.0
279,140553.0,INRIVILLE,14063.0
280,140560.0,ISLA VERDE,14063.0
281,140567.0,LEONES,14063.0
282,140574.0,LOS SURGENTES,14063.0
283,140581.0,MARCOS JUAREZ,14063.0
284,140588.0,MONTE BUEY,14063.0
285,140595.0,SAIRA,14063.0
286,142343.0,SALADILLO,14063.0
287,142357.0,CIENAGA DEL CORO,14070.0
288,142364.0,EL CHACHO,14070.0
289,142371.0,ESTANCIA DE GUADALUPE,14070.0
290,142378.0,GUASAPAMPA,14070.0
291,142385.0,LA PLAYA,14070.0
292,140602.0,SAN CARLOS MINAS,14070.0
293,142392.0,TALAINI,14070.0
294,142399.0,TOSNO,14070.0
295,142406.0,CHANCANI,14077.0
296,142434.0,TALA CANADA,14077.0
297,140609.0,SALSACATE,14077.0
298,142427.0,SAN GERONIMO,14077.0
299,142441.0,VILLA DE POCHO,14077.0
300,140616.0,GENERAL LEVALLE,14084.0
301,140623.0,LA CESIRA,14084.0
302,140630.0,LABOULAYE,14084.0
303,142448.0,LEGUIZAMON,14084.0
304,140637.0,MELO,14084.0
305,142455.0,RIO BAMBA,14084.0
306,140644.0,ROSALES,14084.0
307,142462.0,SAN JOAQUIN,14084.0
308,140658.0,VILLA ROSSI,14084.0
309,140672.0,CAPILLA DEL MONTE,14091.0
310,140665.0,BIALET MASSE,14091.0
311,142469.0,CABALANGO,14091.0
312,142476.0,CASA GRANDE,14091.0
313,142483.0,CHARBONIER,14091.0
314,140679.0,COSQUIN,14091.0
315,142490.0,CUESTA BLANCA,14091.0
316,142497.0,ESTANCIA VIEJA,14091.0
317,140686.0,HUERTA GRANDE,14091.0
318,140693.0,LA CUMBRE,14091.0
319,140700.0,LA FALDA,14091.0
320,142511.0,SAN ANTONIO DE ARREDONDO,14091.0
321,140707.0,LOS COCOS,14091.0
322,140721.0,SANTA MARIA DE PUNILLA,14091.0
323,142504.0,MAYU SUMAJ,14091.0
324,140714.0,SAN ESTEBAN,14091.0
325,142518.0,SAN ROQUE,14091.0
326,142525.0,TALA HUASI,14091.0
327,140728.0,TANTI,14091.0
328,140735.0,VALLE HERMOSO,14091.0
329,140742.0,VILLA CARLOS PAZ,14091.0
330,140749.0,VILLA GIARDINO,14091.0
331,142539.0,VILLA SANTA CRUZ DEL LAGO,14091.0
332,142532.0,VILLA PARQUE SIQUIMAN,14091.0
333,142546.0,VILLA RIO ICHO CRUZ,14091.0
334,140756.0,ACHIRAS,14098.0
335,140763.0,ADELIA MARIA,14098.0
336,140770.0,ALCIRA,14098.0
337,140777.0,ALPA CORRAL,14098.0
338,140784.0,BERROTARAN,14098.0
339,140791.0,BULNES,14098.0
340,140798.0,CHAJAN,14098.0
341,142553.0,CHUCUL,14098.0
342,140805.0,CORONEL BAIGORRIA,14098.0
343,140812.0,CORONEL MOLDES,14098.0
344,140819.0,ELENA,14098.0
345,142560.0,"LA CAROLINA ""EL POTOSI""",14098.0
346,142567.0,LAS ALBAHACAS,14098.0
347,140840.0,LAS HIGUERAS,14098.0
348,142574.0,LAS PENAS SUD,14098.0
349,140847.0,LAS VERTIENTES,14098.0
350,142581.0,MALENA,14098.0
351,140854.0,MONTE DE LOS GAUCHOS,14098.0
352,140861.0,RIO CUARTO,14098.0
353,140868.0,SAMPACHO,14098.0
354,140875.0,SAN BASILIO,14098.0
355,140882.0,SANTA CATALINA,14098.0
356,142588.0,SUCO,14098.0
357,140889.0,TOSQUITA,14098.0
358,140896.0,VICUNA MACKENNA,14098.0
359,142595.0,VILLA EL CHACAY,14098.0
360,142602.0,WASHINGTON,14098.0
361,142616.0,CANADA DE MACHADO,14105.0
362,142623.0,CAPILLA DE LOS REMEDIOS,14105.0
363,142651.0,DIEGO DE ROJAS,14105.0
364,142658.0,EL CRISPIN,14105.0
365,142665.0,ESQUINA,14105.0
366,142672.0,KILOMETRO 658,14105.0
367,140903.0,LA PARA,14105.0
368,142679.0,LA POSTA,14105.0
369,140910.0,LA PUERTA,14105.0
370,142686.0,LA QUINTA,14105.0
371,142700.0,LAS SALADAS,14105.0
372,142707.0,MAQUINISTA GALLINI,14105.0
373,140917.0,MONTE CRISTO,14105.0
374,140924.0,OBISPO TREJO,14105.0
375,140931.0,PIQUILLIN,14105.0
376,142714.0,PLAZA DE MERCEDES,14105.0
377,142644.0,COMECHINGONES,14105.0
378,140938.0,RIO PRIMERO,14105.0
379,140945.0,SANTA ROSA DE RIO PRIMERO,14105.0
380,140952.0,VILLA FONTANA,14105.0
381,142735.0,CERRO COLORADO,14112.0
382,142749.0,EUFRASIO LOZA,14112.0
383,142756.0,GUTEMBERG,14112.0
384,142770.0,LOS HOYOS,14112.0
385,142784.0,RAYO CORTADO,14112.0
386,142791.0,SANTA ELENA,14112.0
387,140959.0,SEBASTIAN ELCANO,14112.0
388,142798.0,VILLA CANDELARIA NORTE,14112.0
389,140966.0,VILLA DE MARIA,14112.0
390,140973.0,CALCHIN,14119.0
391,140980.0,CALCHIN OESTE,14119.0
392,140987.0,CAPILLA DEL CARMEN,14119.0
393,140994.0,CARRILOBO,14119.0
394,141001.0,COLAZO,14119.0
395,142805.0,COLONIA VIDELA,14119.0
396,141008.0,COSTASACATE,14119.0
397,141022.0,LAS JUNTURAS,14119.0
398,141029.0,LUQUE,14119.0
399,141036.0,MANFREDI,14119.0
400,141043.0,MATORRALES,14119.0
401,141050.0,ONCATIVO,14119.0
402,141057.0,PILAR,14119.0
403,141064.0,POZO DEL MOLLE,14119.0
404,142826.0,RINCON,14119.0
405,141078.0,SANTIAGO TEMPLE,14119.0
406,141085.0,VILLA DEL ROSARIO,14119.0
407,142833.0,AMBUL,14126.0
408,142840.0,ARROYO LOS PATOS,14126.0
409,142847.0,LAS CALLES,14126.0
410,142854.0,LAS RABONAS,14126.0
411,141106.0,SAN PEDRO,14126.0
412,141099.0,NONO,14126.0
413,142861.0,PANAHOLMA,14126.0
414,142868.0,SAN LORENZO,14126.0
415,142875.0,SAN VICENTE,14126.0
416,142882.0,SAUCE ARRIBA,14126.0
417,141113.0,VILLA CURA BROCHERO,14126.0
418,142889.0,CONLARA,14133.0
419,142917.0,LOS HORNILLOS,14133.0
