,operador_id,producto
2235,1063,NUEZ SECA CON CASCARA
2236,1064,CHIA (SALVIA HISPANICA L.)
2237,1065,CHIA
2238,1065,SESAMO
2239,1066,CEREALES
2240,1066,OLEAGINOSAS.
2241,1067,AZUCAR DE CAï¿½A
2242,1067,ALCOHOL
2243,1067,SYRUP
2244,1067,MELAZA
2245,1069,UVA PASA
2246,1070,JUGO DE UVA
2247,1071,JUGO CONCENTRADO DE UVA
2248,1072,VINO
2249,1073,AJO
2250,1073,ZAPALLO
2251,1074,VINO
2252,1075,MOSTO CONCENTRADO DE UVA
2253,1076,ZAPALLO
2254,1076,ESPARRAGOS
2255,1077,PASAS DE UVA
2256,1078,UVA PASA
2257,1080,JUGO CONCENTRADO DE UVA
2258,1081,JUGO DE ALOE VERA
2259,1081,JUGO DE ALOE VERA SABORIZADO
2260,1081,GEL DE ALOE VERA
2261,1082,EXTRACCION
2262,1082,FRACCIONAMIENTO DE MIEL
2263,1083,FRUTICULTURA
2264,1083,HORTICULTURA
2265,1083,AROMATICAS
2266,1083,MEDICINALES; DULCES
2267,1084,CORTES DE CARNE VACUNA ENFRIADA
2268,1084,CORTES DE CARNE VACUNA CONGELADA
2269,1085,HORTALIZAS DE HOJA
2270,1085,RAIZ
2271,1085,FRUTO
2272,1085,CONGELADO DE FRUTILLAS
2273,1086,MIEL
2274,1086,SUBPRODUCTOS DE LA COLMENA.
2275,1087,ARANDANO
2276,1088,JUGO
2277,1088,ACEITE DE LIMON
2278,1089,LIMON
2279,1090,ARANDANO
2280,1090,ARANDANO CONGELADO
2281,1091,ARANDANO CONGELADO
2282,1091,FRAMBUESA CONGELADA
2283,1092,ARANDANO
2284,1093,ARANDANO
2285,1093,ARANDANO CONGELADO
2286,1093,FRAMBUESA CONGELADA
2287,1093,MORAS CONGELADAS
2288,1094,CHIA (SALVIA HISPANICA L.)
2289,1095,ARANDANO
2290,1096,LIMON
2291,1096,MANDARINA
2292,1096,NARANJA
2293,1096,PALTA
2294,1097,FRUTILLA CONGELADA
2295,1097,ARANDANO CONGELADO
2296,1098,ARANDANO
2297,1099,ARANDANO
2298,1100,VINO
2299,1101,TORTA DE SOJA
2300,1101,CHIA
2301,1101,HARINA DE COLZA
2302,1101,ARROZ
2303,1101,CENTENO
2304,1101,LINO
2305,1101,SORGO
2306,1101,AVENA
2307,1101, ACEITE DE GIRASOL
2308,1101,ACEITE DE SOJA
2309,1101,HARINA DE GIRASOL
