razon_social,establecimiento,localidad_id,clae2,certificadora_id,categoria_id,rubro
LABORATORIOS FERRINI S.A.I.C.I.,LABORATORIOS FERRINI S.A.I.C.I. 1,2000010,999,2,2,PRODUCTOS PARA EL CUIDADO PERSONAL
MIEL CETA S.R.L.,MIEL CETA S.R.L. 1,2000010,10,2,2,PROCESAMIENTO APICOLA
PUREST FIELDS SA,PUREST FIELDS SA 1,2000010,10,4,2,FRACCIONAMIENTO DE MIEL
ANDILLIAN SA,ANDILLIAN SA 2,2000010,45,1,3,
ARGENTBIO S.R.L.,ARGENTBIO S.R.L. 3,2000010,45,2,3,
BIO GRAINS SA,BIO GRAINS SA 4,2000010,45,1,3,
DANIEL ORLANDO BAZAN RICHIBUT,DANIEL ORLANDO BAZAN RICHIBUT 2,2000010,45,4,3,
DROGUERIA HIERBAS DEL OASIS SRL ,DROGUERIA HIERBAS DEL OASIS SRL  2,2000010,45,1,3,
EDCO GRAINS S.A.,EDCO GRAINS S.A. 1,2000010,45,3,3,
EDUARDO POMPEYO ROJAS,EDUARDO POMPEYO ROJAS 1,2000010,45,3,3,
ESTANCIA LAGUNA VERDE S.A.,ESTANCIA LAGUNA VERDE S.A. 1,2000010,45,3,3,
FDB AGROEXPORT S.A.,FDB AGROEXPORT S.A. 1,2000010,45,2,3,
FLOTOM SRL,FLOTOM SRL 1,2000010,45,4,3,
ECO HOLDING S.R.L.,ECO HOLDING S.R.L. 2,2000010,45,2,3,
FOWLER S.A.,FOWLER S.A. 2,2000010,45,2,3,
GALATIC SA,GALATIC SA 1,2000010,45,1,3,
GOLONDRINA TRADING SRL,GOLONDRINA TRADING SRL 1,2000010,45,2,3,
"GREGORIO, NUMO Y NOEL WERTHEIN SA ","GREGORIO, NUMO Y NOEL WERTHEIN SA  3",2000010,45,1,3,
GRUPO ADN S.A.,GRUPO ADN S.A. 2,2000010,45,2,3,
HONEY & GRAINS SRL,HONEY & GRAINS SRL 1,2000010,45,4,3,
HONEY THINGS SA,HONEY THINGS SA 1,2000010,45,4,3,
IDALTEK SA,IDALTEK SA 1,2000010,45,2,3,
INTERRUPCION S.A.,INTERRUPCION S.A. 1,2000010,45,2,3,
LABORATORIO ELEA S.A.C.I.F Y A.,LABORATORIO ELEA S.A.C.I.F Y A. 1,2000010,45,2,3,
LONGEVORGANICA SRL,LONGEVORGANICA SRL 1,2000010,45,1,3,
MAOAR S.R.L.,MAOAR S.R.L. 1,2000010,45,2,3,
MOï¿½O AZUL SACYA,MOï¿½O AZUL SACYA 1,2000010,45,1,3,
ONSIBON S.A.,ONSIBON S.A. 1,2000010,45,2,3,
ORGANIC LATIN AMERICA S.A.,ORGANIC LATIN AMERICA S.A. 3,2000010,45,2,3,
ORGANIC SUPPLIERS S.R.L,ORGANIC SUPPLIERS S.R.L 1,2000010,45,2,3,
PAMPA STORE S.A.,PAMPA STORE S.A. 1,2000010,45,3,3,
SANTA ANITA OIL S.A.,SANTA ANITA OIL S.A. 1,2000010,45,1,3,
TREVISUR SA,TREVISUR SA 1,2000010,45,1,3,
UNILAN TRELEW S.A.,UNILAN TRELEW S.A. 2,2000010,45,2,3,
NUTRIBABY S.A.,NUTRIBABY S.A. 1,2000010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
DROGUERIA HIERBAS DEL OASIS SRL ,DROGUERIA HIERBAS DEL OASIS SRL  1,2000010,10,1,2,"FRACCIONAMIENTO DE TE, YERBA MATE"
EMECINCO SA,EMECINCO SA 1,2000010,45,2,3,
ESTABLEC. TEXTILES ITUZAINGO S.A.C.F.I.,ESTABLEC. TEXTILES ITUZAINGO S.A.C.F.I. 1,2000010,45,2,3,
KINGBERRY S.A.,KINGBERRY S.A. 2,2000010,45,2,3,
PHOENICIAN TRADING S.A.,PHOENICIAN TRADING S.A. 1,2000010,45,2,3,
PRINEX S.A.,PRINEX S.A. 1,2000010,45,2,3,
SONY ARGENTINA S.A.,SONY ARGENTINA S.A. 1,2000010,45,2,3,
CHARGEURS WOOL ARGENTINA S.A.,CHARGEURS WOOL ARGENTINA S.A. 1,2000010,45,2,3,
LARTIRIGOYEN Y CIA S.A.,LARTIRIGOYEN Y CIA S.A. 1,2000010,45,2,3,
EDCO GRAINS S.A.,LA UNION,6007010,1,3,1,AGRICULTURA
"LIMARDO, RAFAEL OSVALDO",LA SALADA,6014010,1,1,1,AGRICULTURA/GANADERIA
BIO GRAINS SA,BIO GRAINS SA 1,6021010,10,1,2,ELABORACION Y EXTRACCION DE ACEITE
BIO GRAINS SA,BIO GRAINS SA 2,6021010,52,1,2,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
RIVARA S.A.,RIVARA S.A. 1,6021010,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
RIVARA SA,RIVARA SA 1,6021010,10,1,2,ELABORACION
RIVARA SA,RIVARA SA 2,6021010,52,1,2,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
VILLAMORA S.A.,VILLAMORA S.A. 1,6021010,10,2,2,PROCESAMIENTO APICOLA
RIVARA S.A.,RIVARA S.A. 2,6021040,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
BIOVALLE S.A.,CHIMPAY II - LA ISLA,6035010,1,3,1,FRUTICULTURA
BIOVALLE S.A.,CURUNDU - BIOVALLE B - SECTOR HORNERO B - HORNERO C Y PUCCINI NORTE,6035010,1,3,1,FRUTICULTURA
BODEGA Y VIï¿½EDOS PATAGONIA VALLEY S.R.L.,AUGUSTO RIPOLL,6035010,1,1,1,FRUTICULTURA
COSTA DEL RIO S.A.,CAï¿½ADON I,6035010,1,1,1,FRUTICULTURA
LA CONQUISTA SRL,LA CONQUISTA,6035010,1,1,1,FRUTICULTURA
RODRIGO JAVIER SANDRIGO,ISLA MANOLO,6035010,1,3,1,APICULTURA
AGRONICA S.A.,FORTIN COPAHUE,6035010,1,4,1,AGRICULTURA
ALOE CALCHAQUI S.R.L.,ALOE CALCHAQUI S.R.L. 1,6035010,10,2,2,PROCESAMIENTO CULTIVOS INDUSTRIALES
BORGHI MARIA LILIANA ,"EL CUADRO, EL REMANSO, EL VERGEL, EL ALTO (EX SANTA MARIA)",6042010,1,3,1,GANADERIA
SASSOLI ALBERTO ANDRES ,LA ESCONDIDA,6042010,45,3,1,
AGRICOLA EL HORIZONTE S.A.,EL RELINCHO,6049020,1,3,1,AGRICULTURA
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,6049020,1,3,1,AGRICULTURA
BANDERITAS S.A.,JUAN ALBERTO,6049020,1,3,1,AGRICULTURA
MISKA SA,SAN LUIS,6049020,1,4,1,AGRICULTURA
SOYAPAMPA SA,VIMANEMAR,6049020,1,4,1,AGRICULTURA
SOYAPAMPA SA,LAS MARIAS,6049020,1,4,1,AGRICULTURA
BANDERITAS S.A.,BANDERITAS S.A. 1,6049020,52,3,2,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
AGRICOLA EL HORIZONTE SA,AGRICOLA EL HORIZONTE SA 1,6049020,45,4,3,
SOYAPAMPA S.A.,SOYAPAMPA S.A. 1,6049020,45,3,3,
SOYAPAMPA SA,SOYAPAMPA SA 1,6049020,45,4,3,
EL TALADRILLO SRL,EL TALADRILLO SRL 2,6056010,45,1,3,
SECOMEX SRL,SECOMEX SRL 1,6056010,45,4,3,
ADD CROPS S.A.,BARADERO 1,6070010,1,2,1,AGRICULTURA
ADD CROPS S.A.,BARADERO 2,6070010,1,2,1,AGRICULTURA
ADD CROPS S.A.,EL BUEN RETIRO,6070010,1,2,1,AGRICULTURA
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,6070010,1,2,1,FRUTICULTURA/HORTICULTURA
LUIS A. DUCRET Y CIA. S.A.,GARIBALDI,6070010,1,2,1,AGRICULTURA
LUIS A. DUCRET Y CIA. S.A.,EL PUESTO,6070010,1,2,1,AGRICULTURA
LUIS A. DUCRET Y CIA. S.A.,EL RADAR,6070010,1,2,1,AGRICULTURA
ALVAREZ ANA MARIA,ALVAREZ ANA MARIA 1,6070010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
LUIS A. DUCRET Y CIA. S.A.,LUIS A. DUCRET Y CIA. S.A. 1,6070010,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
BANDERITAS S.A.,SANTA RITA,6084020,1,3,1,AGRICULTURA
BANDERITAS S.A.,LA COLORADA,6084020,1,3,1,AGRICULTURA
BANDERITAS S.A.,LA NELIDA,6084020,1,3,1,AGRICULTURA
RIVARA S.A.,EL FORTIN Y LOS MEDANOS,6105060,1,2,1,AGRICULTURA
RIVARA S.A.,EL ROSARIO (MANUBI),6105060,1,2,1,AGRICULTURA
RIVARA S.A.,LA ADELINA,6105060,1,2,1,AGRICULTURA
RIVARA S.A.,10 DE JUNIO,6105060,1,2,1,AGRICULTURA
RIVARA S.A.,MAMA CAROLINA,6105060,1,2,1,AGRICULTURA
RIVARA S.A.,LA LUISA,6105060,1,2,1,AGRICULTURA
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,6126010,1,2,1,FRUTICULTURA/HORTICULTURA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,6126010,1,2,1,FRUTICULTURA/HORTICULTURA
BIOCARDALES S.A.,BIOCARDALES S.A. 1,6126010,52,3,2,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
ALPA TRADE S.R.L.,ALPA TRADE S.R.L. 1,6126030,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
COOPERATIVA GRANJERA ENTRERIANA DE CHACRAS ORGANICAS LTDA.,EL SEï¿½UELO,6134030,1,2,1,GANADERIA
KUMAGRO S.A.,LA LUCIA II,6161010,1,2,1,AGRICULTURA
PETROAGRO S.A.,DON BENEDETTO,6161010,1,2,1,AGRICULTURA
PETROAGRO S.A.,PETROAGRO S.A. 3,6161010,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
ARECO SEMILLAS S.A.,ARECO SEMILLAS S.A. 1,6161010,45,2,3,
KUMAGRO S.A.,KUMAGRO S.A. 1,6161010,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
PETROAGRO S.A.,SIVORI,6161030,1,2,1,AGRICULTURA
PETROAGRO S.A.,PETROAGRO S.A. 1,6161030,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
EL REFUGIO DE CARLOS S.A.,LOS TAMARISCOS (ANIMAL),6175010,1,2,1,GANADERIA
SOCAS CARLOS MARIA,LA MARMOL - SAN PANCHO,6175010,1,2,1,GANADERIA
BIOLIVE S.A.,EL PIAL,6189030,1,2,1,AGRICULTURA
PROVIDENCE SA,LA ISLA,6189030,1,1,1,AGRICULTURA/GANADERIA
BIOLIVE S.A.,BIOLIVE S.A. 1,6189030,10,2,2,PROCESAMIENTO CULTIVOS INDUSTRIALES
DON JACINTO SAAYC,PILLAHUINCO,6196010,1,2,1,AGRICULTURA
FLORIN RAIMUNDO CARLOS,PIEDRA DEL AGUA,6196010,1,2,1,GANADERIA
LA CATALINA SCA,LA CATALINA ORGANICA,6203020,1,1,1,AGRICULTURA/GANADERIA
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,6203020,1,1,1,AGRICULTURA
FIDEICOMISO SANTA RITA ,FIDEICOMISO SANTA RITA  1,6203070,45,2,3,
KUMAGRO S.A.,MAC GRATH,6210020,1,2,1,AGRICULTURA
PETROAGRO S.A.,SAN JUAN,6210020,1,2,1,AGRICULTURA
PETROAGRO S.A.,HURE,6210020,1,2,1,AGRICULTURA
PETROAGRO S.A.,SAN CARLOS,6210020,1,2,1,AGRICULTURA
KUMAGRO S.A.,LOS PARAISOS,6224010,1,2,1,AGRICULTURA
PETROAGRO S.A.,LOS VASQUITOS,6224010,1,2,1,AGRICULTURA
PETROAGRO S.A.,PETROAGRO S.A. 2,6224010,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
MICAELA ANDREA SASAKI,CULTIVOS ORGANICOS SASAKI,6260010,1,4,1,AGRICULTURA
SASAKI NOOSAN SRL,SASAKI NOOSAN SRL,6260010,1,1,1,HORTICULTURA
"PROVERBIO, JUAN MARIANO",LOTE 111,6266020,1,1,1,AGRICULTURA
"PROVERBIO, JUAN MARIANO","PROVERBIO, JUAN MARIANO",6266020,1,1,1,HORTICULTURA
LAFONTAINE SILVIA ELENA,LA MADRECITA,6280040,1,2,1,AGRICULTURA
FENIX S.A.,FENIX S.A. 1,6287010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
FENIX FRUIT CONCENTRATES S.A.,FENIX FRUIT CONCENTRATES S.A. 1,6287010,45,2,3,
BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA""",6329020,1,2,1,GANADERIA
AGLH S.A.,AGLH S.A. 1,6329020,10,2,2,PROCESAMIENTO APICOLA
HUENU CRESTA Y MUTICIA CRESTA SH,CANDELA,6343030,1,1,1,GANADERIA
COSUFRUTOS SA,PUENTE VIEJO,6357110,1,1,1,FRUTICULTURA
"ETCHEBEST, PEDRO GASTON",DOï¿½A FRANCISCA,6357110,1,1,1,FRUTICULTURA
GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI,6357110,1,2,1,AGRICULTURA
EL MAITEN S.R.L.,EL MAITEN S.R.L. 1,6357110,10,2,2,PROCESAMIENTO APICOLA
EL MAITEN S.R.L.,EL MAITEN S.R.L. 2,6357110,999,2,2,OTROS
PATAGONIAN FRUITS TRADE SA,PATAGONIAN FRUITS TRADE SA 1,6357110,10,1,2,FRIGORIFICOS Y EMPAQUE PARA  FRUTAS
"ETCHEBEST, PEDRO GASTON","ETCHEBEST, PEDRO GASTON 1",6357120,10,1,2,EMPAQUE DE FRUTAS NO CITRICAS
EDCO GRAINS S.A.,LA ELVIRA,6399040,1,3,1,AGRICULTURA
RAUL LOPEZ/LUCAS LOPEZ,CUARAJU MIMBI,6406010,1,3,1,AGRICULTURA
EARLY CROP S.A.,EARLY CROP S.A. 1,6410010,45,2,3,
DIETETICA CIENTIFICA S.A.C.I.F.I.,DIETETICA CIENTIFICA S.A.C.I.F.I. 2,6434010,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
PRODUCTOS AFER IMPORTADORA Y EXPORTADORA SA,PRODUCTOS AFER IMPORTADORA Y EXPORTADORA SA 1,6434010,10,4,2,FRACCIONAMIENTO DE MIEL
PRODUCTOS AFER IMPORTADORA Y EXPORTADORA SA,PRODUCTOS AFER IMPORTADORA Y EXPORTADORA SA 2,6434010,45,4,3,
CIDEL ORGANICA S.R.L.,QUINTA 462,6441030,1,4,1,HORTICULTURA
CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2,6441030,1,4,1,HORTICULTURA
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,6441030,1,4,1,HORTICULTURA
COOPERATIVA CREO FRUTIHORTICOLA ORGANICA LTDA.,COOPERATIVA CREO FRUTIHORTICOLA ORGANICA LTDA. 1,6441030,10,3,2,INDUSTRIALIZACION DE YERBA MATE
TESTONI VICTOR,TESTONI VICTOR 1,6441030,10,4,2,EMPAQUE DE HORTALIZAS
MISKA SA,DON GREGORIO,6455030,1,4,1,AGRICULTURA
MISKA SA,BREIZH,6455030,1,4,1,AGRICULTURA
MISKA SA,LOS VERDES,6455030,1,4,1,AGRICULTURA
MISKA SA,CONSTANTIN,6455030,1,4,1,AGRICULTURA
SOYAPAMPA SA,LA PICASA,6455030,1,4,1,AGRICULTURA
SOYAPAMPA SA,EL CARDALITO,6455030,1,4,1,AGRICULTURA
GRUPO ADN S.A.,GRUPO ADN S.A. 1,6469080,10,2,2,ALIMENTACION ANIMAL
NEXCO SA,NEXCO SA 1,6483040,10,4,2,FRACCIONAMIENTO DE MIEL
CHACRA RUMFE SRL,CHACRA RUMFE,6497060,1,4,1,AGRICULTURA
GIMAI SA,LA AMISTAD,6497060,1,1,1,HORTICULTURA
DANIEL ORLANDO BAZAN RICHIBUT,DANIEL ORLANDO BAZAN RICHIBUT 1,6497060,10,4,2,FRACCIONAMIENTO DE MIEL
SUCESION DE HARALDO WITOMIR TOMYS,SUCESION DE HARALDO WITOMIR TOMYS 1,6497060,10,2,2,PROCESAMIENTO APICOLA
BIOMAC S.R.L.,BIOMAC S.R.L. 1,6515010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
BIOMAC S.R.L.,BIOMAC S.R.L. 2,6515010,45,2,3,
ARBE JUAN LUCAS ,NATURAL PAMPA,6532020,1,2,1,FRUTICULTURA/HORTICULTURA
INNOCENTI MONICA,KIWI Y CHAMPIGNON,6532020,1,2,1,FRUTICULTURA/HORTICULTURA
KUMAGRO S.A.,OJEA,6532020,1,2,1,AGRICULTURA
TERMINAL DE CARGAS AEREAS SA,CAMPO MERCEDES,6532020,1,1,1,AGRICULTURA
RIVARA S.A.,LA MARTITA,6588100,1,2,1,AGRICULTURA
CASSAB AHUN S.R.L,FINCA DON ABRAHAM,6588100,1,2,1,FRUTICULTURA/HORTICULTURA
"GARCIA, ANTONIO",FINCA ANTONIO GARCIA,6588100,1,1,1,HORTICULTURA
PEï¿½AVID SA,FINCA LAS MORAS,6588100,1,1,1,FRUTICULTURA
VONO SA,FINCA 9 DE JULIO,6588100,1,1,1,FRUTICULTURA
FRANCUCCI DANIEL,DIETETICA ALBERDI,6588100,1,4,1,APICULTURA
SOYAPAMPA S.A.,EL REZONGO,6595070,1,3,1,AGRICULTURA
AGRO ROSSI S.H.,DON GISLENO,6602030,1,4,1,AGRICULTURA
AGRO ROSSI S.H.,ONELIA,6602030,1,4,1,AGRICULTURA
"CORDOBA, MIGUEL ANGEL",EL 48,6602030,1,1,1,AGRICULTURA
DON ALEJO SA,LAUQUEN,6602030,1,4,1,AGRICULTURA
DON ALEJO SA,LA TAPERA,6602030,1,4,1,AGRICULTURA
EBERLING FELICIANO,LA AVENTURA,6602030,1,4,1,AGRICULTURA
EBERLING FELICIANO,LA QUEBRADA,6602030,1,4,1,AGRICULTURA
GARAT ALBERTO ADOLFO,MI SUEï¿½O,6602030,1,4,1,AGRICULTURA
GILARDI SEBASTIAN,DON LUIS,6602030,1,3,1,AGRICULTURA
GONZALEZ ELVIO,VILLA BALLESTER,6602030,1,4,1,AGRICULTURA
GONZALEZ ELVIO,LAS CIEN,6602030,1,4,1,AGRICULTURA
GONZALEZ ELVIO,EX ARTEL,6602030,1,4,1,AGRICULTURA
ILGNER ANGEL E. Y PRESA STELLA M.,LOTE 118 Y  LA ALICIA,6602030,1,4,1,AGRICULTURA
KROHN ARNOLDO Y MARTIN LUIS ENRIQUE SH,EL SATELITE,6602030,1,1,1,AGRICULTURA
KROHN ARNOLDO Y MARTIN LUIS ENRIQUE SH,MARY YAN,6602030,1,1,1,AGRICULTURA
NOVICK PABLO HORACIO,EL CUADRO DEL VASCO,6602030,1,4,1,AGRICULTURA
NOVICK PABLO HORACIO,EL VASQUITO,6602030,1,4,1,AGRICULTURA
"ROSSI, PILADE QUINTO",EL CHAPARRAL,6602030,1,1,1,AGRICULTURA
"ROSSI, PILADE QUINTO",LA ALCANCIA,6602030,1,1,1,AGRICULTURA
"VEXENAT PABLO C., FONTENLA DIEGO A.(AGROINDECO SRL) Y GIACHETTI WALTER",PURO CAMPO,6602030,1,4,1,AGRICULTURA
ILGNER OSCAR FELIPE,SAN AGUSTIN,6602050,1,3,1,HORTICULTURA
ILGNER HECTOR,LA GABRIELITA,6602070,1,3,1,AGRICULTURA
ILGNER RAUL ALBERTO,FRUTO DE LA FE,6602070,1,3,1,AGRICULTURA
ILGNER SEBASTIAN,LOS MEXICANOS,6602070,1,3,1,AGRICULTURA
PACHAMAMA PRODUCTS SRL.,PACHAMAMA PRODUCTS SRL. 1,6623100,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,6638040,1,1,1,HORTICULTURA
MIELSO SRL,MIELSO SRL 1,6651020,10,2,2,PROCESAMIENTO APICOLA
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,6651020,1,2,1,GANADERIA
EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA,6651030,1,2,1,AGRICULTURA
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,6651040,1,2,1,GANADERIA
MAGADAN LOPEZ MAXIMO PEDRO,LA VENTURA - SANTA BENITA,6651080,1,2,1,APICULTURA
VIRTUD SA,EL CICLON LOTE 1,6665030,1,3,1,AGRICULTURA
LOVINAC S.A.,TRES MARIAS,6672010,1,2,1,GANADERIA
MISKA SA,LOIZA,6672010,1,4,1,AGRICULTURA
SOYAPAMPA SA,BUENA ESPERANZA,6672010,1,4,1,AGRICULTURA
BODEGAS Y VIï¿½EDOS BENEDETTI SRL,FINCA LOS CAMPAMENTOS,6679010,1,3,1,FRUTICULTURA
COMPAï¿½IA DE AGROSERVICIOS S.A.,DON JORGE,6679010,1,3,1,FRUTICULTURA
LIPTOV S.A.,EL RANCHO,6679010,1,3,1,FRUTICULTURA
LIPTOV S.A.,LA ESTRELLA,6679010,1,3,1,FRUTICULTURA
OLIVARES DE DON IGNACIO S.A.,LA LIBERTAD,6679010,1,1,1,FRUTICULTURA
VALENCIA MIGUEL,MEDRANO,6679010,1,3,1,FRUTICULTURA
LIPTOV S.A.,LIPTOV S.A. 1,6679010,10,3,2,SECADO
"MAZAIRA, GUILLERMO A.",CHACRA G Y K,6700060,1,2,1,AGRICULTURA
NEO ARGENTO SC,LAS TRES NENAS,6700060,1,2,1,AGRICULTURA
SPECIAL GRAINS S.A.,SPECIAL GRAINS S.A. 1,6735020,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO (CAMPO),6756010,1,2,1,AGRICULTURA
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO S.A. 1,6756010,10,2,2,PROCESAMIENTO CULTIVOS INDUSTRIALES
EXPOFRESH S.A.,EXPOFRESH S.A. 1,6756010,45,2,3,
VIRTUD S.A.,VIRTUD S.A. 1,6763050,10,3,2,ELABORACION 
BUENA TIERRA SRL.,SANTA LUCIA,6770040,1,2,1,FRUTICULTURA/HORTICULTURA
GARRIDO STELLA MARIS,LOS OSOS,6791050,1,2,1,GANADERIA
GARRIDO STELLA MARIS,GARRIDO STELLA MARIS 1,6791050,10,2,2,INDUSTRIA LACTEA
TANDIL VACARA SRL,SAN MIGUEL,6791050,1,2,1,GANADERIA
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,6833060,1,2,1,GANADERIA
PROVIDENCE SA,SANTA ELENA,6833100,1,1,1,AGRICULTURA/GANADERIA
PROVIDENCE SA,PROVIDENCE SA 1,6833100,10,1,2,ELABORACION GRANOS
PROVIDENCE SA,PROVIDENCE SA 2,6833100,10,1,2,LIMPIEZA DE GRANOS
BARRETO JORGE JAVIER,LOS ARANDANALES,6854100,1,2,1,FRUTICULTURA/HORTICULTURA
RIVARA S.A.,LAS NUTRIAS,6854100,1,2,1,AGRICULTURA
ALVIPA SRL,DOï¿½A MARIA,6854100,1,1,1,FRUTICULTURA
CASSAB AHUN S.R.L,FINCA LA PLATA,6854100,1,2,1,FRUTICULTURA/HORTICULTURA
PONCHO VERDE S.A.,PONCHO VERDE,6854100,1,2,1,FRUTICULTURA/HORTICULTURA
CASSAB AHUN S.R.L,"FINCAS LA VILLA, DISAGRO Y ANITA",6854100,1,2,1,FRUTICULTURA/HORTICULTURA
EAD AGRICOLA SA (EX CARNES ANDINAS SA),EAD AGRICOLA SA,6854100,1,1,1,FRUTICULTURA
JOSE MANUEL RABANEDO,JOSE MANUEL RABANEDO 1,6875050,10,3,2,ACONDICIONAMIENTO Y EMPAQUE
ANIJG AGENCY S.A.,EL FORTIN,6875060,1,1,1,GANADERIA
"JAï¿½EZ, MARIA PILAR",EL CHARA,6875060,1,1,1,GANADERIA
EL TALADRILLO SRL,EL TALADRILLO SRL 1,6875080,52,1,2,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
BORCHARDT FRANCISCO,ORGANIC ORCHARD,6882040,1,2,1,FRUTICULTURA/HORTICULTURA
ADRION PAUL,CHACRA HUMUS,10007030,1,2,1,GANADERIA
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO,10007030,1,2,1,FRUTICULTURA/HORTICULTURA
GRUPO PEï¿½AFLOR SA ,GRUPO PEï¿½AFLOR SA  5,10035090,11,1,2,ELABORACION DE JUGO CONCENTRADO
REGINA SA,REGINA SA 1,10049030,45,1,3,
MARIA ELVIRA SAGASTI,ARCA DEL SOL,10070150,1,3,1,AGICULTURA/HORTICULTURA
CAMPO MALAMBO S.A.,CAMPO MALAMBO,10070150,1,3,1,AGRICULTURA
ESTANCIA LAGUNA BLANCA S.A.,LAGUNA BLANCA,10070150,1,3,1,AGRICULTURA
FIGUEROA BUNGE MARIANO,LA EVANGELINA,10070150,1,2,1,AGRICULTURA
BODEGAS Y VIï¿½EDOS BENEDETTI SRL,FINCA LA PAZ,10070150,1,3,1,FRUTICULTURA
EMPRESA COMERCIAL EXPORTADORA S.A.,LAS 3 F,10070150,1,3,1,FRUTICULTURA
GRUPO PEï¿½AFLOR SA ,FINCA LA PAZ,10070150,1,1,1,FRUTICULTURA
MIX S.A.,UVAS DEL DESIERTO,10070150,1,3,1,FRUTICULTURA
VINECOL S.A.,VINECOL S.A. 1,10070150,11,3,2,BODEGA VITIVINICOLA
FRUTOS DEL NORTE SA,FRUTOS DEL NORTE S.A.,10084100,1,1,1,FRUTICULTURA
OLIVARES DE POMAN SA,COMPLEJO OLIVICOLA SAN JOSE,10084100,1,1,1,FRUTICULTURA
OLIVARES DE POMAN SA ,OLIVARES DE POMAN SA  1,10084100,10,1,2,EXTRACCION DE ACEITE
PROMET SA,PROMET SA 1,10084100,10,1,2,EXTRACCION DE ACEITE
LA MECO S.R.L,LA PASCUALINA,10091150,1,1,1,FRUTICULTURA/HORTICULTURA
GRUPO PEï¿½AFLOR SA ,GRUPO PEï¿½AFLOR SA  1,10091150,11,1,2,BODEGA VITIVINICOLA
LA OVEJERIA CONSTRUCCIONES S.R.L.,EL BAï¿½ADO,10098020,1,2,1,AGRICULTURA
FRUTOS DE SANTA ROSA S.A.,SANTA ROSA,10098020,1,3,1,FRUTICULTURA
GRUPO PEï¿½AFLOR SA ,FINCA SANTA ROSA,10098020,1,1,1,FRUTICULTURA
JESUS CARLOS FANTELLI E HIJOS,FINCA BODEGA,10098020,1,3,1,FRUTICULTURA
JESUS CARLOS FANTELLI E HIJOS,BETTI,10098020,1,3,1,FRUTICULTURA
LOS EUCALIPTOS S.A.,FINCA LOS EUCALIPTOS,10098020,1,2,1,FRUTICULTURA/HORTICULTURA
MIRAVALLES S.A.,E-30686,10098020,1,2,1,FRUTICULTURA/HORTICULTURA
VILLAR JUAN JOSE,FINCA DOï¿½A CARMEN,10098020,1,2,1,FRUTICULTURA/HORTICULTURA
LOGISTICA DEL VALLE COMERCIAL S.A.,LOGISTICA DEL VALLE COMERCIAL S.A. 1,10098020,11,3,2,BODEGA VITIVINICOLA
JESUS CARLOS FANTELLI E HIJOS,AGUSTIN,10098020,1,3,1,FRUTICULTURA
LA LUNA DE CATAMARCA SA,GRUPO AO,10105180,1,1,1,FRUTICULTURA
"LONGO, PASCUAL",PASCUAL LONGO,10105180,1,1,1,FRUTICULTURA
LA LUNA DE CATAMARCA SA,LA LUNA DE CATAMARCA SA 1,10105180,10,1,2,EXTRACCION DE ACEITE
BUSTAMANTE LUIS,FINCAS DON ROGELIO,10105180,1,2,1,FRUTICULTURA/HORTICULTURA
