razon_social,establecimiento,localidad_id,clae2,certificadora_id,categoria_id,rubro
"COOPERATIVA DE PROVISION DE SERVICIOS PARA PRODUCTORES RURALES ""LA ESCONDIDA LTDA"".",FINCA LA ESCONDIDA,66126060,1,2,1,AGRICULTURA
IMPORTADORA DEL CARMEN S.A.,EL TRAMPEADERO,66126060,1,2,1,AGRICULTURA
LA VOLUNTAD S.A.,EL TRAMPEADERO,66126060,1,2,1,AGRICULTURA
"COOPERATIVA DE PROVISION DE SERVICIOS PARA PRODUCTORES RURALES ""LA ESCONDIDA LTDA"".",FINCA CARRATALA,66126060,1,2,1,AGRICULTURA
ALVAREZ EDUARDO MARTIN,ESTANCIA PELICANO,66126070,1,2,1,AGRICULTURA
TERMINAL DE CARGAS AEREAS SA,RAMADITA,66126070,1,1,1,AGRICULTURA
RODRIGUEZ NOCETTI S.R.L.,URUNDEL,66126080,1,2,1,AGRICULTURA
IMPORTADORA DEL CARMEN S.A.,FINCA SANTA MARIA,66140050,1,2,1,AGRICULTURA
MERCADO DANIEL OSVALDO,FINCA QUISCALORO,66140050,1,2,1,AGRICULTURA
IMPORTADORA DEL CARMEN S.A.,FINCA BELLA VISTA,66140050,1,2,1,AGRICULTURA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA,70007020,1,2,1,FRUTICULTURA/HORTICULTURA
DON DANIEL DE  ABELARDO E. LEIVA Y GRACIELA S. CANTO,25 DE MAYO,70007020,1,1,1,FRUTICULTURA
DON DANIEL DE  ABELARDO E. LEIVA Y GRACIELA S. CANTO,ANGACO,70014020,1,1,1,FRUTICULTURA
BIO AGRICULTORES S.A.,ESTANCIA EL LEONCITO,70021030,1,2,1,FRUTICULTURA/HORTICULTURA
DE MI CAMPO S.A.,FINCA EL ENCUENTRO,70021030,45,2,1,
ALVIPA SRL,LOS ALBERTOS,70035020,1,1,1,FRUTICULTURA
"CRESCENTINO, HECTOR HUGO",ECOHUMUS,70035020,1,1,1,FRUTICULTURA
DON DANIEL DE  ABELARDO E. LEIVA Y GRACIELA S. CANTO,DON DANIEL,70035020,1,1,1,FRUTICULTURA
FABRIL ALTO VERDE S.A.,"FINCA ""LA URPILA""",70035020,1,1,1,FRUTICULTURA
"LEIVA FERRER, ANTONIO ESTEBAN",LA PUNTILLA,70035020,1,1,1,FRUTICULTURA
ALVIPA SRL,ALVIPA SRL 1,70035020,10,1,2,SECADO DE FRUTAS
GRUPO PEï¿½AFLOR SA ,GRUPO PEï¿½AFLOR SA  6,70035020,11,1,2,FRIGORIFICO PARA  MOSTO
RINCON AMARILLO S.A.,RINCON AMARILLO S.A. 2,70035020,10,1,2,SECADERO DE FRUTAS
RINCON AMARILLO S.A.,RINCON AMARILLO S.A. 1,70035020,10,1,2,FRACCIONAMIENTO
CONEXPORT S.A. (CONSORCIO EXPORTADOR),CONEXPORT S.A. (CONSORCIO EXPORTADOR) 2,70042010,11,1,2,ELABORACION DE MOSTO CONCENTRADO DE UVA
"MAS, MIGUEL (HUERTA ANAHATA)","MAS, MIGUEL (HUERTA ANAHATA) 1",70070040,11,1,2,"BODEGA VITIVINICOLA Y ELABORACION DE  VINAGRE, MERMELADAS, HUMUS DE LOMBRIZ"
FABRIL ALTO VERDE S.A.,FABRIL ALTO VERDE S.A. 1,70070040,11,1,2,BODEGA VITIVINICOLA
BIO AGRICULTORES S.A.,EL VERGEL,70098010,1,2,1,FRUTICULTURA/HORTICULTURA
SANES S.A.,FINCA LA ULTIMA,70098010,1,2,1,FRUTICULTURA/HORTICULTURA
